"species"	"site"	"season"	"count"
"3"	"58"	"4"	0
"4"	"58"	"4"	1
"5"	"58"	"4"	0
"6"	"58"	"4"	0
"7"	"58"	"4"	0
"8"	"58"	"4"	0
"9"	"58"	"4"	0
"10"	"58"	"4"	0
"11"	"58"	"4"	0
"12"	"58"	"4"	0
"13"	"58"	"4"	0
"14"	"58"	"4"	0
"15"	"58"	"4"	0
"16"	"58"	"4"	0
"1"	"59"	"4"	1
"2"	"59"	"4"	0
"3"	"59"	"4"	0
"4"	"59"	"4"	0
"5"	"59"	"4"	0
"6"	"59"	"4"	0
"7"	"59"	"4"	0
"8"	"59"	"4"	1
"9"	"59"	"4"	0
"10"	"59"	"4"	3
"11"	"59"	"4"	0
"12"	"59"	"4"	0
"13"	"59"	"4"	0
"14"	"59"	"4"	0
"15"	"59"	"4"	0
"16"	"59"	"4"	0
"1"	"60"	"4"	2
"2"	"60"	"4"	0
"3"	"60"	"4"	2
"4"	"60"	"4"	0
"5"	"60"	"4"	0
"6"	"60"	"4"	0
"7"	"60"	"4"	0
"8"	"60"	"4"	0
"9"	"60"	"4"	1
"10"	"60"	"4"	1
"11"	"60"	"4"	0
"12"	"60"	"4"	0
"13"	"60"	"4"	0
"14"	"60"	"4"	0
"15"	"60"	"4"	0
"16"	"60"	"4"	0
"1"	"61"	"4"	NA
"2"	"61"	"4"	NA
"3"	"61"	"4"	NA
"4"	"61"	"4"	NA
"5"	"61"	"4"	NA
"6"	"61"	"4"	NA
"7"	"61"	"4"	NA
"8"	"61"	"4"	NA
"9"	"61"	"4"	NA
"10"	"61"	"4"	NA
"11"	"61"	"4"	NA
"12"	"61"	"4"	NA
"13"	"61"	"4"	NA
"14"	"61"	"4"	NA
"15"	"61"	"4"	NA
"16"	"61"	"4"	NA
"1"	"62"	"4"	NA
"2"	"62"	"4"	NA
"3"	"62"	"4"	NA
"4"	"62"	"4"	NA
"5"	"62"	"4"	NA
"6"	"62"	"4"	NA
"7"	"62"	"4"	NA
"8"	"62"	"4"	NA
"9"	"62"	"4"	NA
"10"	"62"	"4"	NA
"11"	"62"	"4"	NA
"12"	"62"	"4"	NA
"13"	"62"	"4"	NA
"14"	"62"	"4"	NA
"15"	"62"	"4"	NA
"16"	"62"	"4"	NA
"1"	"63"	"4"	1
"2"	"63"	"4"	0
"3"	"63"	"4"	0
"4"	"63"	"4"	3
"5"	"63"	"4"	0
"6"	"63"	"4"	0
"7"	"63"	"4"	0
"8"	"63"	"4"	1
"9"	"63"	"4"	0
"10"	"63"	"4"	0
"11"	"63"	"4"	0
"12"	"63"	"4"	0
"13"	"63"	"4"	0
"14"	"63"	"4"	0
"15"	"63"	"4"	0
"16"	"63"	"4"	0
"1"	"64"	"4"	7
"2"	"64"	"4"	0
"3"	"64"	"4"	0
"4"	"64"	"4"	4
"5"	"64"	"4"	2
"6"	"64"	"4"	1
"7"	"64"	"4"	0
"8"	"64"	"4"	0
"9"	"64"	"4"	0
"10"	"64"	"4"	0
"11"	"64"	"4"	0
"12"	"64"	"4"	0
"13"	"64"	"4"	0
"14"	"64"	"4"	0
"15"	"64"	"4"	0
"16"	"64"	"4"	0
"1"	"65"	"4"	0
"2"	"65"	"4"	0
"3"	"65"	"4"	0
"4"	"65"	"4"	0
"5"	"65"	"4"	0
"6"	"65"	"4"	0
"7"	"65"	"4"	0
"8"	"65"	"4"	0
"9"	"65"	"4"	0
"10"	"65"	"4"	1
"11"	"65"	"4"	0
"12"	"65"	"4"	0
"13"	"65"	"4"	0
"14"	"65"	"4"	0
"15"	"65"	"4"	0
"16"	"65"	"4"	0
"1"	"66"	"4"	0
"2"	"66"	"4"	0
"3"	"66"	"4"	0
"4"	"66"	"4"	0
"5"	"66"	"4"	0
"6"	"66"	"4"	0
"7"	"66"	"4"	0
"8"	"66"	"4"	0
"9"	"66"	"4"	0
"10"	"66"	"4"	0
"11"	"66"	"4"	0
"12"	"66"	"4"	0
"13"	"66"	"4"	0
"14"	"66"	"4"	0
"15"	"66"	"4"	0
"16"	"66"	"4"	0
"1"	"67"	"4"	1
"2"	"67"	"4"	0
"3"	"67"	"4"	0
"4"	"67"	"4"	2
"5"	"67"	"4"	0
"6"	"67"	"4"	0
"7"	"67"	"4"	0
"8"	"67"	"4"	0
"9"	"67"	"4"	0
"10"	"67"	"4"	3
"11"	"67"	"4"	0
"12"	"67"	"4"	0
"13"	"67"	"4"	0
"14"	"67"	"4"	0
"15"	"67"	"4"	0
"16"	"67"	"4"	0
"1"	"68"	"4"	0
"2"	"68"	"4"	0
"3"	"68"	"4"	0
"4"	"68"	"4"	3
"5"	"68"	"4"	0
"6"	"68"	"4"	0
"7"	"68"	"4"	0
"8"	"68"	"4"	1
"9"	"68"	"4"	0
"10"	"68"	"4"	0
"11"	"68"	"4"	0
"12"	"68"	"4"	0
"13"	"68"	"4"	0
"14"	"68"	"4"	0
"15"	"68"	"4"	0
"16"	"68"	"4"	0
"1"	"69"	"4"	9
"2"	"69"	"4"	6
"3"	"69"	"4"	0
"4"	"69"	"4"	2
"5"	"69"	"4"	0
"6"	"69"	"4"	0
"7"	"69"	"4"	0
"8"	"69"	"4"	0
"9"	"69"	"4"	0
"10"	"69"	"4"	0
"11"	"69"	"4"	0
"12"	"69"	"4"	0
"13"	"69"	"4"	0
"14"	"69"	"4"	0
"15"	"69"	"4"	0
"16"	"69"	"4"	0
"1"	"70"	"4"	5
"2"	"70"	"4"	3
"3"	"70"	"4"	0
"4"	"70"	"4"	2
"5"	"70"	"4"	0
"6"	"70"	"4"	0
"7"	"70"	"4"	0
"8"	"70"	"4"	0
"9"	"70"	"4"	0
"10"	"70"	"4"	0
"11"	"70"	"4"	0
"12"	"70"	"4"	0
"13"	"70"	"4"	0
"14"	"70"	"4"	0
"15"	"70"	"4"	0
"16"	"70"	"4"	0
"1"	"71"	"4"	0
"2"	"71"	"4"	0
"3"	"71"	"4"	0
"4"	"71"	"4"	0
"5"	"71"	"4"	0
"6"	"71"	"4"	0
"7"	"71"	"4"	0
"8"	"71"	"4"	0
"9"	"71"	"4"	0
"10"	"71"	"4"	0
"11"	"71"	"4"	0
"12"	"71"	"4"	0
"13"	"71"	"4"	0
"14"	"71"	"4"	0
"15"	"71"	"4"	0
"16"	"71"	"4"	0
"1"	"72"	"4"	2
"2"	"72"	"4"	0
"3"	"72"	"4"	0
"4"	"72"	"4"	0
"5"	"72"	"4"	0
"6"	"72"	"4"	0
"7"	"72"	"4"	0
"8"	"72"	"4"	1
"9"	"72"	"4"	0
"10"	"72"	"4"	0
"11"	"72"	"4"	0
"12"	"72"	"4"	0
"13"	"72"	"4"	0
"14"	"72"	"4"	0
"15"	"72"	"4"	0
"16"	"72"	"4"	0
"1"	"73"	"4"	NA
"2"	"73"	"4"	NA
"3"	"73"	"4"	NA
"4"	"73"	"4"	NA
"5"	"73"	"4"	NA
"6"	"73"	"4"	NA
"7"	"73"	"4"	NA
"8"	"73"	"4"	NA
"9"	"73"	"4"	NA
"10"	"73"	"4"	NA
"11"	"73"	"4"	NA
"12"	"73"	"4"	NA
"13"	"73"	"4"	NA
"14"	"73"	"4"	NA
"15"	"73"	"4"	NA
"16"	"73"	"4"	NA
"1"	"74"	"4"	4
"2"	"74"	"4"	0
"3"	"74"	"4"	1
"4"	"74"	"4"	0
"5"	"74"	"4"	0
"6"	"74"	"4"	0
"7"	"74"	"4"	1
"8"	"74"	"4"	8
"9"	"74"	"4"	0
"10"	"74"	"4"	4
"11"	"74"	"4"	0
"12"	"74"	"4"	0
"13"	"74"	"4"	0
"14"	"74"	"4"	0
"15"	"74"	"4"	0
"16"	"74"	"4"	0
"1"	"75"	"4"	0
"2"	"75"	"4"	0
"3"	"75"	"4"	0
"4"	"75"	"4"	0
"5"	"75"	"4"	0
"6"	"75"	"4"	0
"7"	"75"	"4"	2
"8"	"75"	"4"	1
"9"	"75"	"4"	0
"10"	"75"	"4"	2
"11"	"75"	"4"	0
"12"	"75"	"4"	0
"13"	"75"	"4"	0
"14"	"75"	"4"	0
"15"	"75"	"4"	0
"16"	"75"	"4"	0
"1"	"76"	"4"	1
"2"	"76"	"4"	0
"3"	"76"	"4"	1
"4"	"76"	"4"	0
"5"	"76"	"4"	0
"6"	"76"	"4"	0
"7"	"76"	"4"	0
"8"	"76"	"4"	5
"9"	"76"	"4"	0
"10"	"76"	"4"	5
"11"	"76"	"4"	0
"12"	"76"	"4"	0
"13"	"76"	"4"	0
"14"	"76"	"4"	0
"15"	"76"	"4"	0
"16"	"76"	"4"	0
"1"	"77"	"4"	0
"2"	"77"	"4"	0
"3"	"77"	"4"	0
"4"	"77"	"4"	0
"5"	"77"	"4"	0
"6"	"77"	"4"	0
"7"	"77"	"4"	0
"8"	"77"	"4"	15
"9"	"77"	"4"	0
"10"	"77"	"4"	19
"11"	"77"	"4"	0
"12"	"77"	"4"	0
"13"	"77"	"4"	0
"14"	"77"	"4"	0
"15"	"77"	"4"	0
"16"	"77"	"4"	0
"1"	"78"	"4"	0
"2"	"78"	"4"	0
"3"	"78"	"4"	0
"4"	"78"	"4"	0
"5"	"78"	"4"	0
"6"	"78"	"4"	0
"7"	"78"	"4"	0
"8"	"78"	"4"	0
"9"	"78"	"4"	0
"10"	"78"	"4"	0
"11"	"78"	"4"	0
"12"	"78"	"4"	0
"13"	"78"	"4"	0
"14"	"78"	"4"	0
"15"	"78"	"4"	0
"16"	"78"	"4"	0
"1"	"79"	"4"	NA
"2"	"79"	"4"	NA
"3"	"79"	"4"	NA
"4"	"79"	"4"	NA
"5"	"79"	"4"	NA
"6"	"79"	"4"	NA
"7"	"79"	"4"	NA
"8"	"79"	"4"	NA
"9"	"79"	"4"	NA
"10"	"79"	"4"	NA
"11"	"79"	"4"	NA
"12"	"79"	"4"	NA
"13"	"79"	"4"	NA
"14"	"79"	"4"	NA
"15"	"79"	"4"	NA
"16"	"79"	"4"	NA
"1"	"80"	"4"	0
"2"	"80"	"4"	0
"3"	"80"	"4"	0
"4"	"80"	"4"	0
"5"	"80"	"4"	0
"6"	"80"	"4"	0
"7"	"80"	"4"	0
"8"	"80"	"4"	2
"9"	"80"	"4"	0
"10"	"80"	"4"	3
"11"	"80"	"4"	0
"12"	"80"	"4"	0
"13"	"80"	"4"	0
"14"	"80"	"4"	0
"15"	"80"	"4"	0
"16"	"80"	"4"	0
"1"	"81"	"4"	1
"2"	"81"	"4"	0
"3"	"81"	"4"	0
"4"	"81"	"4"	0
"5"	"81"	"4"	0
"6"	"81"	"4"	0
"7"	"81"	"4"	4
"8"	"81"	"4"	1
"9"	"81"	"4"	1
"10"	"81"	"4"	4
"11"	"81"	"4"	0
"12"	"81"	"4"	0
"13"	"81"	"4"	0
"14"	"81"	"4"	0
"15"	"81"	"4"	0
"16"	"81"	"4"	0
"1"	"82"	"4"	NA
"2"	"82"	"4"	NA
"3"	"82"	"4"	NA
"4"	"82"	"4"	NA
"5"	"82"	"4"	NA
"6"	"82"	"4"	NA
"7"	"82"	"4"	NA
"8"	"82"	"4"	NA
"9"	"82"	"4"	NA
"10"	"82"	"4"	NA
"11"	"82"	"4"	NA
"12"	"82"	"4"	NA
"13"	"82"	"4"	NA
"14"	"82"	"4"	NA
"15"	"82"	"4"	NA
"16"	"82"	"4"	NA
"1"	"83"	"4"	8
"2"	"83"	"4"	8
"3"	"83"	"4"	0
"4"	"83"	"4"	1
"5"	"83"	"4"	0
"6"	"83"	"4"	0
"7"	"83"	"4"	0
"8"	"83"	"4"	0
"9"	"83"	"4"	0
"10"	"83"	"4"	0
"11"	"83"	"4"	0
"12"	"83"	"4"	0
"13"	"83"	"4"	0
"14"	"83"	"4"	0
"15"	"83"	"4"	0
"16"	"83"	"4"	0
"1"	"84"	"4"	0
"2"	"84"	"4"	0
"3"	"84"	"4"	0
"4"	"84"	"4"	0
"5"	"84"	"4"	0
"6"	"84"	"4"	0
"7"	"84"	"4"	1
"8"	"84"	"4"	4
"9"	"84"	"4"	0
"10"	"84"	"4"	1
"11"	"84"	"4"	0
"12"	"84"	"4"	0
"13"	"84"	"4"	0
"14"	"84"	"4"	0
"15"	"84"	"4"	0
"16"	"84"	"4"	0
"1"	"85"	"4"	0
"2"	"85"	"4"	0
"3"	"85"	"4"	0
"4"	"85"	"4"	0
"5"	"85"	"4"	0
"6"	"85"	"4"	0
"7"	"85"	"4"	1
"8"	"85"	"4"	0
"9"	"85"	"4"	0
"10"	"85"	"4"	0
"11"	"85"	"4"	0
"12"	"85"	"4"	0
"13"	"85"	"4"	0
"14"	"85"	"4"	0
"15"	"85"	"4"	0
"16"	"85"	"4"	0
"1"	"86"	"4"	0
"2"	"86"	"4"	0
"3"	"86"	"4"	0
"4"	"86"	"4"	0
"5"	"86"	"4"	0
"6"	"86"	"4"	0
"7"	"86"	"4"	0
"8"	"86"	"4"	13
"9"	"86"	"4"	0
"10"	"86"	"4"	13
"11"	"86"	"4"	0
"12"	"86"	"4"	0
"13"	"86"	"4"	0
"14"	"86"	"4"	0
"15"	"86"	"4"	0
"16"	"86"	"4"	0
"1"	"87"	"4"	0
"2"	"87"	"4"	0
"3"	"87"	"4"	0
"4"	"87"	"4"	0
"5"	"87"	"4"	0
"6"	"87"	"4"	0
"7"	"87"	"4"	0
"8"	"87"	"4"	0
"9"	"87"	"4"	0
"10"	"87"	"4"	0
"11"	"87"	"4"	0
"12"	"87"	"4"	0
"13"	"87"	"4"	0
"14"	"87"	"4"	0
"15"	"87"	"4"	0
"16"	"87"	"4"	0
"1"	"88"	"4"	NA
"2"	"88"	"4"	NA
"3"	"88"	"4"	NA
"4"	"88"	"4"	NA
"5"	"88"	"4"	NA
"6"	"88"	"4"	NA
"7"	"88"	"4"	NA
"8"	"88"	"4"	NA
"9"	"88"	"4"	NA
"10"	"88"	"4"	NA
"11"	"88"	"4"	NA
"12"	"88"	"4"	NA
"13"	"88"	"4"	NA
"14"	"88"	"4"	NA
"15"	"88"	"4"	NA
"16"	"88"	"4"	NA
"1"	"89"	"4"	NA
"2"	"89"	"4"	NA
"3"	"89"	"4"	NA
"4"	"89"	"4"	NA
"5"	"89"	"4"	NA
"6"	"89"	"4"	NA
"7"	"89"	"4"	NA
"8"	"89"	"4"	NA
"9"	"89"	"4"	NA
"10"	"89"	"4"	NA
"11"	"89"	"4"	NA
"12"	"89"	"4"	NA
"13"	"89"	"4"	NA
"14"	"89"	"4"	NA
"15"	"89"	"4"	NA
"16"	"89"	"4"	NA
"1"	"90"	"4"	2
"2"	"90"	"4"	3
"3"	"90"	"4"	0
"4"	"90"	"4"	1
"5"	"90"	"4"	0
"6"	"90"	"4"	0
"7"	"90"	"4"	0
"8"	"90"	"4"	0
"9"	"90"	"4"	0
"10"	"90"	"4"	0
"11"	"90"	"4"	0
"12"	"90"	"4"	0
"13"	"90"	"4"	0
"14"	"90"	"4"	0
"15"	"90"	"4"	0
"16"	"90"	"4"	0
"1"	"91"	"4"	2
"2"	"91"	"4"	0
"3"	"91"	"4"	0
"4"	"91"	"4"	0
"5"	"91"	"4"	0
"6"	"91"	"4"	0
"7"	"91"	"4"	0
"8"	"91"	"4"	0
"9"	"91"	"4"	0
"10"	"91"	"4"	0
"11"	"91"	"4"	0
"12"	"91"	"4"	0
"13"	"91"	"4"	0
"14"	"91"	"4"	0
"15"	"91"	"4"	0
"16"	"91"	"4"	0
"1"	"92"	"4"	NA
"2"	"92"	"4"	NA
"3"	"92"	"4"	NA
"4"	"92"	"4"	NA
"5"	"92"	"4"	NA
"6"	"92"	"4"	NA
"7"	"92"	"4"	NA
"8"	"92"	"4"	NA
"9"	"92"	"4"	NA
"10"	"92"	"4"	NA
"11"	"92"	"4"	NA
"12"	"92"	"4"	NA
"13"	"92"	"4"	NA
"14"	"92"	"4"	NA
"15"	"92"	"4"	NA
"16"	"92"	"4"	NA
"1"	"93"	"4"	0
"2"	"93"	"4"	3
"3"	"93"	"4"	0
"4"	"93"	"4"	0
"5"	"93"	"4"	1
"6"	"93"	"4"	0
"7"	"93"	"4"	1
"8"	"93"	"4"	0
"9"	"93"	"4"	0
"10"	"93"	"4"	0
"11"	"93"	"4"	0
"12"	"93"	"4"	0
"13"	"93"	"4"	0
"14"	"93"	"4"	0
"15"	"93"	"4"	0
"16"	"93"	"4"	0
"1"	"94"	"4"	1
"2"	"94"	"4"	7
"3"	"94"	"4"	0
"4"	"94"	"4"	0
"5"	"94"	"4"	0
"6"	"94"	"4"	0
"7"	"94"	"4"	0
"8"	"94"	"4"	0
"9"	"94"	"4"	0
"10"	"94"	"4"	0
"11"	"94"	"4"	0
"12"	"94"	"4"	0
"13"	"94"	"4"	0
"14"	"94"	"4"	0
"15"	"94"	"4"	0
"16"	"94"	"4"	0
"1"	"95"	"4"	3
"2"	"95"	"4"	6
"3"	"95"	"4"	0
"4"	"95"	"4"	0
"5"	"95"	"4"	0
"6"	"95"	"4"	0
"7"	"95"	"4"	0
"8"	"95"	"4"	0
"9"	"95"	"4"	0
"10"	"95"	"4"	0
"11"	"95"	"4"	0
"12"	"95"	"4"	0
"13"	"95"	"4"	0
"14"	"95"	"4"	0
"15"	"95"	"4"	0
"16"	"95"	"4"	0
"1"	"96"	"4"	0
"2"	"96"	"4"	4
"3"	"96"	"4"	0
"4"	"96"	"4"	1
"5"	"96"	"4"	0
"6"	"96"	"4"	0
"7"	"96"	"4"	0
"8"	"96"	"4"	0
"9"	"96"	"4"	0
"10"	"96"	"4"	0
"11"	"96"	"4"	0
"12"	"96"	"4"	0
"13"	"96"	"4"	0
"14"	"96"	"4"	0
"15"	"96"	"4"	0
"16"	"96"	"4"	0
"1"	"97"	"4"	10
"2"	"97"	"4"	2
"3"	"97"	"4"	0
"4"	"97"	"4"	8
"5"	"97"	"4"	1
"6"	"97"	"4"	3
"7"	"97"	"4"	0
"8"	"97"	"4"	0
"9"	"97"	"4"	0
"10"	"97"	"4"	0
"11"	"97"	"4"	0
"12"	"97"	"4"	0
"13"	"97"	"4"	0
"14"	"97"	"4"	0
"15"	"97"	"4"	0
"16"	"97"	"4"	0
"1"	"98"	"4"	NA
"2"	"98"	"4"	NA
"3"	"98"	"4"	NA
"4"	"98"	"4"	NA
"5"	"98"	"4"	NA
"6"	"98"	"4"	NA
"7"	"98"	"4"	NA
"8"	"98"	"4"	NA
"9"	"98"	"4"	NA
"10"	"98"	"4"	NA
"11"	"98"	"4"	NA
"12"	"98"	"4"	NA
"13"	"98"	"4"	NA
"14"	"98"	"4"	NA
"15"	"98"	"4"	NA
"16"	"98"	"4"	NA
"1"	"99"	"4"	1
"2"	"99"	"4"	6
"3"	"99"	"4"	0
"4"	"99"	"4"	0
"5"	"99"	"4"	0
"6"	"99"	"4"	0
"7"	"99"	"4"	0
"8"	"99"	"4"	0
"9"	"99"	"4"	0
"10"	"99"	"4"	0
"11"	"99"	"4"	0
"12"	"99"	"4"	0
"13"	"99"	"4"	0
"14"	"99"	"4"	0
"15"	"99"	"4"	0
"16"	"99"	"4"	0
"1"	"100"	"4"	0
"2"	"100"	"4"	9
"3"	"100"	"4"	0
"4"	"100"	"4"	3
"5"	"100"	"4"	0
"6"	"100"	"4"	0
"7"	"100"	"4"	0
"8"	"100"	"4"	0
"9"	"100"	"4"	0
"10"	"100"	"4"	0
"11"	"100"	"4"	0
"12"	"100"	"4"	0
"13"	"100"	"4"	0
"14"	"100"	"4"	0
"15"	"100"	"4"	0
"16"	"100"	"4"	0
"1"	"101"	"4"	NA
"2"	"101"	"4"	NA
"3"	"101"	"4"	NA
"4"	"101"	"4"	NA
"5"	"101"	"4"	NA
"6"	"101"	"4"	NA
"7"	"101"	"4"	NA
"8"	"101"	"4"	NA
"9"	"101"	"4"	NA
"10"	"101"	"4"	NA
"11"	"101"	"4"	NA
"12"	"101"	"4"	NA
"13"	"101"	"4"	NA
"14"	"101"	"4"	NA
"15"	"101"	"4"	NA
"16"	"101"	"4"	NA
"1"	"102"	"4"	0
"2"	"102"	"4"	0
"3"	"102"	"4"	0
"4"	"102"	"4"	0
"5"	"102"	"4"	0
"6"	"102"	"4"	0
"7"	"102"	"4"	0
"8"	"102"	"4"	0
"9"	"102"	"4"	0
"10"	"102"	"4"	2
"11"	"102"	"4"	0
"12"	"102"	"4"	0
"13"	"102"	"4"	0
"14"	"102"	"4"	0
"15"	"102"	"4"	0
"16"	"102"	"4"	0
"1"	"103"	"4"	NA
"2"	"103"	"4"	NA
"3"	"103"	"4"	NA
"4"	"103"	"4"	NA
"5"	"103"	"4"	NA
"6"	"103"	"4"	NA
"7"	"103"	"4"	NA
"8"	"103"	"4"	NA
"9"	"103"	"4"	NA
"10"	"103"	"4"	NA
"11"	"103"	"4"	NA
"12"	"103"	"4"	NA
"13"	"103"	"4"	NA
"14"	"103"	"4"	NA
"15"	"103"	"4"	NA
"16"	"103"	"4"	NA
"1"	"1"	"5"	0
"2"	"1"	"5"	0
"3"	"1"	"5"	0
"4"	"1"	"5"	1
"5"	"1"	"5"	0
"6"	"1"	"5"	0
"7"	"1"	"5"	0
"8"	"1"	"5"	0
"9"	"1"	"5"	0
"10"	"1"	"5"	1
"11"	"1"	"5"	0
"12"	"1"	"5"	0
"13"	"1"	"5"	0
"14"	"1"	"5"	0
"15"	"1"	"5"	0
"16"	"1"	"5"	1
"1"	"2"	"5"	0
"2"	"2"	"5"	0
"3"	"2"	"5"	0
"4"	"2"	"5"	0
"5"	"2"	"5"	0
"6"	"2"	"5"	0
"7"	"2"	"5"	2
"8"	"2"	"5"	20
"9"	"2"	"5"	1
"10"	"2"	"5"	9
"11"	"2"	"5"	0
"12"	"2"	"5"	0
"13"	"2"	"5"	0
"14"	"2"	"5"	0
"15"	"2"	"5"	0
"16"	"2"	"5"	0
"1"	"3"	"5"	0
"2"	"3"	"5"	0
"3"	"3"	"5"	3
"4"	"3"	"5"	0
"5"	"3"	"5"	0
"6"	"3"	"5"	0
"7"	"3"	"5"	0
"8"	"3"	"5"	0
"9"	"3"	"5"	0
"10"	"3"	"5"	2
"11"	"3"	"5"	0
"12"	"3"	"5"	0
"13"	"3"	"5"	0
"14"	"3"	"5"	0
"15"	"3"	"5"	0
"16"	"3"	"5"	0
"1"	"4"	"5"	0
"2"	"4"	"5"	0
"3"	"4"	"5"	0
"4"	"4"	"5"	0
"5"	"4"	"5"	0
"6"	"4"	"5"	0
"7"	"4"	"5"	1
"8"	"4"	"5"	24
"9"	"4"	"5"	2
"10"	"4"	"5"	25
"11"	"4"	"5"	0
"12"	"4"	"5"	0
"13"	"4"	"5"	0
"14"	"4"	"5"	0
"15"	"4"	"5"	0
"16"	"4"	"5"	0
"1"	"5"	"5"	0
"2"	"5"	"5"	0
"3"	"5"	"5"	0
"4"	"5"	"5"	0
"5"	"5"	"5"	0
"6"	"5"	"5"	0
"7"	"5"	"5"	0
"8"	"5"	"5"	22
"9"	"5"	"5"	0
"10"	"5"	"5"	13
"11"	"5"	"5"	0
"12"	"5"	"5"	0
"13"	"5"	"5"	0
"14"	"5"	"5"	0
"15"	"5"	"5"	0
"16"	"5"	"5"	0
"1"	"6"	"5"	0
"2"	"6"	"5"	0
"3"	"6"	"5"	0
"4"	"6"	"5"	0
"5"	"6"	"5"	0
"6"	"6"	"5"	0
"7"	"6"	"5"	1
"8"	"6"	"5"	0
"9"	"6"	"5"	0
"10"	"6"	"5"	1
"11"	"6"	"5"	0
"12"	"6"	"5"	0
"13"	"6"	"5"	0
"14"	"6"	"5"	0
"15"	"6"	"5"	0
"16"	"6"	"5"	1
"1"	"7"	"5"	0
"2"	"7"	"5"	0
"3"	"7"	"5"	0
"4"	"7"	"5"	0
"5"	"7"	"5"	0
"6"	"7"	"5"	0
"7"	"7"	"5"	6
"8"	"7"	"5"	24
"9"	"7"	"5"	2
"10"	"7"	"5"	20
"11"	"7"	"5"	0
"12"	"7"	"5"	0
"13"	"7"	"5"	0
"14"	"7"	"5"	0
"15"	"7"	"5"	0
"16"	"7"	"5"	0
"1"	"8"	"5"	0
"2"	"8"	"5"	0
"3"	"8"	"5"	0
"4"	"8"	"5"	0
"5"	"8"	"5"	0
"6"	"8"	"5"	0
"7"	"8"	"5"	3
"8"	"8"	"5"	27
"9"	"8"	"5"	0
"10"	"8"	"5"	19
"11"	"8"	"5"	0
"12"	"8"	"5"	0
"13"	"8"	"5"	0
"14"	"8"	"5"	0
"15"	"8"	"5"	0
"16"	"8"	"5"	0
"1"	"9"	"5"	1
"2"	"9"	"5"	0
"3"	"9"	"5"	0
"4"	"9"	"5"	0
"5"	"9"	"5"	0
"6"	"9"	"5"	0
"7"	"9"	"5"	1
"8"	"9"	"5"	20
"9"	"9"	"5"	0
"10"	"9"	"5"	19
"11"	"9"	"5"	0
"12"	"9"	"5"	0
"13"	"9"	"5"	0
"14"	"9"	"5"	0
"15"	"9"	"5"	0
"16"	"9"	"5"	0
"1"	"10"	"5"	0
"2"	"10"	"5"	16
"3"	"10"	"5"	0
"4"	"10"	"5"	4
"5"	"10"	"5"	0
"6"	"10"	"5"	0
"7"	"10"	"5"	0
"8"	"10"	"5"	7
"9"	"10"	"5"	0
"10"	"10"	"5"	1
"11"	"10"	"5"	0
"12"	"10"	"5"	0
"13"	"10"	"5"	0
"14"	"10"	"5"	0
"15"	"10"	"5"	0
"16"	"10"	"5"	0
"1"	"11"	"5"	0
"2"	"11"	"5"	0
"3"	"11"	"5"	0
"4"	"11"	"5"	0
"5"	"11"	"5"	0
"6"	"11"	"5"	0
"7"	"11"	"5"	0
"8"	"11"	"5"	19
"9"	"11"	"5"	0
"10"	"11"	"5"	2
"11"	"11"	"5"	0
"12"	"11"	"5"	0
"13"	"11"	"5"	0
"14"	"11"	"5"	0
"15"	"11"	"5"	0
"16"	"11"	"5"	0
"1"	"12"	"5"	0
"2"	"12"	"5"	0
"3"	"12"	"5"	0
"4"	"12"	"5"	0
"5"	"12"	"5"	0
"6"	"12"	"5"	0
"7"	"12"	"5"	2
"8"	"12"	"5"	26
"9"	"12"	"5"	0
"10"	"12"	"5"	25
"11"	"12"	"5"	0
"12"	"12"	"5"	0
"13"	"12"	"5"	0
"14"	"12"	"5"	0
"15"	"12"	"5"	0
"16"	"12"	"5"	0
"1"	"13"	"5"	NA
"2"	"13"	"5"	NA
"3"	"13"	"5"	NA
"4"	"13"	"5"	NA
"5"	"13"	"5"	NA
"6"	"13"	"5"	NA
"7"	"13"	"5"	NA
"8"	"13"	"5"	NA
"9"	"13"	"5"	NA
"10"	"13"	"5"	NA
"11"	"13"	"5"	NA
"12"	"13"	"5"	NA
"13"	"13"	"5"	NA
"14"	"13"	"5"	NA
"15"	"13"	"5"	NA
"16"	"13"	"5"	NA
"1"	"14"	"5"	0
"2"	"14"	"5"	0
"3"	"14"	"5"	0
"4"	"14"	"5"	0
"5"	"14"	"5"	0
"6"	"14"	"5"	0
"7"	"14"	"5"	0
"8"	"14"	"5"	23
"9"	"14"	"5"	0
"10"	"14"	"5"	5
"11"	"14"	"5"	0
"12"	"14"	"5"	0
"13"	"14"	"5"	0
"14"	"14"	"5"	0
"15"	"14"	"5"	0
"16"	"14"	"5"	0
"1"	"15"	"5"	NA
"2"	"15"	"5"	NA
"3"	"15"	"5"	NA
"4"	"15"	"5"	NA
"5"	"15"	"5"	NA
"6"	"15"	"5"	NA
"7"	"15"	"5"	NA
"8"	"15"	"5"	NA
"9"	"15"	"5"	NA
"10"	"15"	"5"	NA
"11"	"15"	"5"	NA
"12"	"15"	"5"	NA
"13"	"15"	"5"	NA
"14"	"15"	"5"	NA
"15"	"15"	"5"	NA
"16"	"15"	"5"	NA
"1"	"16"	"5"	0
"2"	"16"	"5"	0
"3"	"16"	"5"	1
"4"	"16"	"5"	2
"5"	"16"	"5"	0
"6"	"16"	"5"	0
"7"	"16"	"5"	0
"8"	"16"	"5"	0
"9"	"16"	"5"	0
"10"	"16"	"5"	0
